station;long;lat;date;weekday;time;visibility;relative_humidity;precipitation;wind_speed;air_temp
83967;-51.17472221;-30.05361111;01/01/2017;6;00:00;1.0;0.76;0.6;2.4;26.4
83967;-51.17472221;-30.05361111;01/01/2017;6;12:00;1.0;0.7;0.0;2.3;27.8
83967;-51.17472221;-30.05361111;01/01/2017;6;18:00;1.0;0.65;0.0;2.5;32.7
83967;-51.17472221;-30.05361111;02/01/2017;0;00:00;1.0;0.77;0.0;0.9;28.9
83967;-51.17472221;-30.05361111;02/01/2017;0;12:00;1.0;0.83;0.0;1.8;28.0
83967;-51.17472221;-30.05361111;02/01/2017;0;18:00;1.0;0.68;0.0;4.6;30.2
83967;-51.17472221;-30.05361111;03/01/2017;1;00:00;1.0;0.83;0.0;2.9;25.2
83967;-51.17472221;-30.05361111;03/01/2017;1;12:00;1.0;0.71;0.0;0.0;28.8
83967;-51.17472221;-30.05361111;03/01/2017;1;18:00;1.0;0.56;0.0;0.8;34.8
83967;-51.17472221;-30.05361111;04/01/2017;2;00:00;1.0;0.81;0.0;1.4;28.3
83967;-51.17472221;-30.05361111;04/01/2017;2;12:00;1.0;0.75;51.4;1.5;27.0
83967;-51.17472221;-30.05361111;04/01/2017;2;18:00;1.0;0.66;0.0;4.0;32.4
83967;-51.17472221;-30.05361111;05/01/2017;3;00:00;1.0;0.94;28.0;2.0;22.2
83967;-51.17472221;-30.05361111;05/01/2017;3;12:00;1.0;0.74;0.0;1.9;26.7
83967;-51.17472221;-30.05361111;05/01/2017;3;18:00;1.0;0.69;0.0;3.0;30.8
83967;-51.17472221;-30.05361111;06/01/2017;4;00:00;1.0;0.94;10.8;1.6;23.8
83967;-51.17472221;-30.05361111;06/01/2017;4;12:00;1.0;0.74;0.0;3.5;24.8
83967;-51.17472221;-30.05361111;06/01/2017;4;18:00;0.8333333333333334;0.64;0.0;3.5;27.0
83967;-51.17472221;-30.05361111;07/01/2017;5;00:00;1.0;0.8;0.0;2.4;22.6
83967;-51.17472221;-30.05361111;07/01/2017;5;12:00;1.0;0.87;0.0;1.7;23.3
83967;-51.17472221;-30.05361111;07/01/2017;5;18:00;1.0;0.59;0.0;0.0;29.0
83967;-51.17472221;-30.05361111;08/01/2017;6;00:00;1.0;0.75;0.0;0.0;25.4
83967;-51.17472221;-30.05361111;08/01/2017;6;12:00;1.0;0.76;0.0;1.4;27.9
83967;-51.17472221;-30.05361111;08/01/2017;6;18:00;1.0;0.54;0.0;2.4;33.6
83967;-51.17472221;-30.05361111;09/01/2017;0;00:00;1.0;0.82;0.0;0.0;28.4
83967;-51.17472221;-30.05361111;09/01/2017;0;12:00;1.0;0.77;7.6;3.0;27.8
83967;-51.17472221;-30.05361111;09/01/2017;0;18:00;1.0;0.68;0.0;3.3;30.4
83967;-51.17472221;-30.05361111;10/01/2017;1;00:00;1.0;0.74;0.0;1.6;27.0
83967;-51.17472221;-30.05361111;10/01/2017;1;12:00;1.0;0.95;28.5;1.0;23.0
83967;-51.17472221;-30.05361111;10/01/2017;1;18:00;1.0;0.7;0.0;1.9;28.5
83967;-51.17472221;-30.05361111;11/01/2017;2;00:00;0.8333333333333334;0.95;13.8;1.6;24.0
83967;-51.17472221;-30.05361111;11/01/2017;2;12:00;1.0;0.85;2.8;1.5;24.4
83967;-51.17472221;-30.05361111;11/01/2017;2;18:00;1.0;0.53;0.0;3.5;31.0
83967;-51.17472221;-30.05361111;12/01/2017;3;00:00;1.0;0.86;0.0;1.8;23.2
83967;-51.17472221;-30.05361111;12/01/2017;3;12:00;1.0;0.74;0.0;1.9;25.6
83967;-51.17472221;-30.05361111;12/01/2017;3;18:00;1.0;0.49;0.0;1.6;30.7
83967;-51.17472221;-30.05361111;13/01/2017;4;00:00;1.0;0.77;0.0;2.8;23.0
83967;-51.17472221;-30.05361111;13/01/2017;4;12:00;1.0;0.62;0.0;2.0;25.8
83967;-51.17472221;-30.05361111;13/01/2017;4;18:00;1.0;0.54;0.0;2.8;33.0
83967;-51.17472221;-30.05361111;14/01/2017;5;00:00;1.0;0.7;0.0;1.3;28.3
83967;-51.17472221;-30.05361111;14/01/2017;5;12:00;1.0;0.69;0.0;1.8;29.8
83967;-51.17472221;-30.05361111;14/01/2017;5;18:00;1.0;0.75;0.0;2.1;28.0
83967;-51.17472221;-30.05361111;15/01/2017;6;00:00;1.0;0.91;0.2;1.5;24.8
83967;-51.17472221;-30.05361111;15/01/2017;6;12:00;1.0;0.76;0.0;2.3;28.0
83967;-51.17472221;-30.05361111;15/01/2017;6;18:00;1.0;0.63;0.0;3.8;32.8
83967;-51.17472221;-30.05361111;16/01/2017;0;00:00;1.0;0.83;0.0;2.3;26.2
83967;-51.17472221;-30.05361111;16/01/2017;0;12:00;1.0;0.72;0.0;2.4;27.5
83967;-51.17472221;-30.05361111;16/01/2017;0;18:00;0.8333333333333334;0.72;0.0;1.5;30.0
83967;-51.17472221;-30.05361111;17/01/2017;1;00:00;1.0;0.96;27.6;1.8;21.8
83967;-51.17472221;-30.05361111;17/01/2017;1;12:00;1.0;0.98;11.8;2.5;22.2
83967;-51.17472221;-30.05361111;17/01/2017;1;18:00;1.0;0.61;0.6;3.3;30.4
83967;-51.17472221;-30.05361111;18/01/2017;2;00:00;1.0;0.78;0.0;2.6;26.3
83967;-51.17472221;-30.05361111;18/01/2017;2;12:00;1.0;0.74;0.0;4.3;27.2
83967;-51.17472221;-30.05361111;18/01/2017;2;18:00;1.0;0.63;0.0;3.6;31.4
83967;-51.17472221;-30.05361111;19/01/2017;3;00:00;1.0;0.77;0.0;1.8;24.8
83967;-51.17472221;-30.05361111;19/01/2017;3;12:00;1.0;0.66;0.0;1.6;25.7
83967;-51.17472221;-30.05361111;19/01/2017;3;18:00;1.0;0.55;0.0;4.2;29.2
83967;-51.17472221;-30.05361111;20/01/2017;4;00:00;1.0;0.74;0.0;2.1;22.8
83967;-51.17472221;-30.05361111;20/01/2017;4;12:00;1.0;0.64;0.0;3.0;25.8
83967;-51.17472221;-30.05361111;20/01/2017;4;18:00;1.0;0.51;0.0;3.3;29.4
83967;-51.17472221;-30.05361111;21/01/2017;5;00:00;1.0;0.78;0.0;2.6;23.0
83967;-51.17472221;-30.05361111;21/01/2017;5;12:00;1.0;0.69;0.0;2.1;26.4
83967;-51.17472221;-30.05361111;21/01/2017;5;18:00;0.3333333333333333;0.59;0.0;3.8;28.6
83967;-51.17472221;-30.05361111;22/01/2017;6;00:00;1.0;0.75;0.0;2.7;23.5
83967;-51.17472221;-30.05361111;22/01/2017;6;12:00;1.0;0.65;0.0;2.6;26.6
83967;-51.17472221;-30.05361111;22/01/2017;6;18:00;1.0;0.59;0.0;3.4;30.2
83967;-51.17472221;-30.05361111;23/01/2017;0;00:00;1.0;0.82;0.0;2.1;24.8
83967;-51.17472221;-30.05361111;23/01/2017;0;12:00;1.0;0.77;0.0;2.1;27.4
83967;-51.17472221;-30.05361111;23/01/2017;0;18:00;1.0;0.6;0.0;4.6;30.8
83967;-51.17472221;-30.05361111;24/01/2017;1;00:00;1.0;0.84;0.0;2.3;25.2
83967;-51.17472221;-30.05361111;24/01/2017;1;12:00;1.0;0.63;0.0;2.5;27.6
83967;-51.17472221;-30.05361111;24/01/2017;1;18:00;1.0;0.51;0.0;2.3;32.9
83967;-51.17472221;-30.05361111;25/01/2017;2;00:00;1.0;0.74;0.0;2.2;26.5
83967;-51.17472221;-30.05361111;25/01/2017;2;12:00;1.0;0.87;1.8;3.0;23.8
83967;-51.17472221;-30.05361111;25/01/2017;2;18:00;1.0;0.57;0.0;3.8;30.3
83967;-51.17472221;-30.05361111;26/01/2017;3;00:00;1.0;0.94;4.6;0.7;22.0
83967;-51.17472221;-30.05361111;26/01/2017;3;12:00;1.0;0.77;0.0;2.0;22.0
83967;-51.17472221;-30.05361111;26/01/2017;3;18:00;1.0;0.61;0.0;4.0;26.0
83967;-51.17472221;-30.05361111;27/01/2017;4;00:00;1.0;0.74;1.6;1.6;21.8
83967;-51.17472221;-30.05361111;27/01/2017;4;12:00;1.0;0.64;0.0;1.8;22.0
83967;-51.17472221;-30.05361111;27/01/2017;4;18:00;1.0;0.48;0.0;0.3;27.2
